,Name,Fibre Volume Fraction,Material,Test type,"smax,static","smax, fatigue",epsstatic,epsfatigue,Ncycles,Eit,Eic
2348,GEV206_R0300_0797,52.89,GE1,STT,935.2744483333071,,1.5809333,,1.0,38.38,
2349,GEV206_R0300_0795,52.89,GE1,STT,897.6190662339417,,2.563721,,1.0,41.51,
2350,GEV206_R0300_0787,52.89,GE1,STT,883.225812249365,,2.501953,,1.0,35.18,
2351,GEV206_R0300_0750,52.38,GE1,STT,920.443607540957,,2.342773,,1.0,37.71,
2366,GEV206_R0300_0784,52.89,GE1,STT,940.9942851242299,,2.741712,,1.0,37.70189418437037,
2367,GEV206_R0300_0783,52.89,GE1,STT,920.4234489376564,,2.4544699999999997,,1.0,38.600538218568836,
2368,GEV206_R0300_0782,52.89,GE1,STT,843.3830397651454,,2.2361639999999996,,1.0,38.74968470040004,
2369,GEV206_R0300_0781,52.89,GE1,STC,-460.1189955394504,,-0.9499270000000001,,1.0,,42.3400489089157
2370,GEV206_R0300_0780,52.89,GE1,STC,-425.3307134036205,,-1.0285959999999998,,1.0,,39.15303969267717
2371,GEV206_R0300_0779,52.89,GE1,STT,933.1609918290138,,2.592141,,1.0,39.91448785971299,
2372,GEV206_R0300_0778,52.04,GE1,STT,919.9019625643206,,2.4544699999999997,,1.0,39.39748126661836,
2451,GEV206_I1160_0015,50.13672113310992,GE1,STT,,,,,1.0,,
2452,GEV206_I1160_0014,50.13672113310992,GE1,STT,,,,,1.0,,
2453,GEV206_I1160_0013,50.13672113310992,GE1,STT,,,,,1.0,,
2454,GEV206_I1160_0012,50.13672113310992,GE1,STT,,,,,1.0,,
2455,GEV206_I1160_0011,50.13672113310992,GE1,STT,,,,,1.0,,
2456,GEV206_I1160_0010,50.13672113310992,GE1,STT,,,,,1.0,,
2457,GEV206_I1160_0009,50.13672113310992,GE1,STT,,,,,1.0,,
2458,GEV206_I1160_0007,50.13672113310992,GE1,STT,,,,,1.0,,
2464,GEV207_R0400_0535,53.25686544722542,GE1,CA,,274.3939953242279,,,79300.0,,
2469,GEV207_R0400_0541,53.25686544722542,GE1,CA,,343.0585350904076,,,3058.0,,
2481,GEV207_S4800_0014,53.3,GE1,STT,356.33455649216086,,1.445,,1.0,27.845,
2482,GEV207_S4800_0011,53.3,GE1,STT,297.4031119543077,,1.12,,1.0,29.45,
2483,GEV207_S4800_0008,53.3,GE1,STT,307.6600522122577,,1.11,,1.0,30.52,
2484,GEV207_S4800_0006,53.3,GE1,STT,277.6011712705282,,1.02,,1.0,29.98,
2485,GEV207_S4800_0001,53.3,GE1,STT,287.8687967708739,,1.14,,1.0,27.905,
2486,GEV207_S3800_0012,51.73,GE1,STT,292.8126662286054,,1.145,,1.0,27.58,
2487,GEV207_S3800_0010,51.73,GE1,STT,298.87864031283647,,1.155,,1.0,28.345,
2488,GEV207_S3800_0006,51.73,GE1,STT,293.57650713948254,,1.12,,1.0,28.16,
2489,GEV207_S3800_0004,51.73,GE1,STT,290.176723939733,,0.975,,1.0,28.495,
2490,GEV207_S3800_0002,51.73,GE1,STT,296.5939299550105,,1.135,,1.0,28.55,
2507,GEV206_R0300_0929,53.84,GE1,CA,,290.2656741809179,,,406588.0,40.825,
2508,GEV206_R0300_0906,52.3,GE1,CA,,289.45644191742633,,,109929.0,,
2509,GEV206_R0300_0894,52.3,GE1,CA,,289.4602417844373,,,561392.0,,39.8
2510,GEV206_R0300_0891,54.31,GE1,CA,,298.8997017246615,,,266028.0,,
2511,GEV206_R0300_0883,54.31,GE1,CA,,-358.2072443833104,,,2602762.0,,
2512,GEV206_R0300_0882,54.31,GE1,CA,,289.46233910205086,,,462698.0,,
2513,GEV207_R0400_1080,0.0,GE1,CA,,212.16211069995424,,,138477.0,,
2514,GEV207_R0400_1063,0.0,GE1,CA,,191.95066479541248,,,956670.0,23.915,
2515,GEV207_R0400_1049,0.0,GE1,CA,,193.0988046769548,,,603609.0,,
2516,GEV207_R0400_1037,0.0,GE1,CA,,194.0254416781061,,,1148206.0,27.515,
2517,GEV207_R0400_1031,0.0,GE1,CA,,192.48175772753436,,,672311.0,24.805,24.8
2518,GEV207_R0400_1024,0.0,GE1,CA,,192.3588934873675,,,538691.0,,
2519,GEV207_R0400_0956,0.0,GE1,CA,,193.93942209245827,,,1596710.0,24.525,25.245
2520,GEV206_R0300_0831,52.38,GE1,CA,,286.8278274288193,,,359875.0,38.07,38.575
2574,GEV207_S0300_0053,55.84,GE1,CA,,206.34804578651915,,0.785,133890.0,28.38,
2575,GEV207_S0300_0051,55.84,GE1,CA,,205.0406392158978,,0.83,117709.0,29.825,
2576,GEV207_S0300_0035,55.84,GE1,CA,,345.7847491467938,,1.43,1540.0,26.74,
2577,GEV207_S0300_0034,55.84,GE1,CA,,201.89647808211103,,,49736.0,,
2578,GEV207_S0300_0033,55.84,GE1,CA,,272.92629649133073,,,10502.0,,
2579,GEV207_S0300_0019,52.83,GE1,CA,,338.98253795094405,,1.415,2151.0,27.36,
2580,GEV207_S0300_0017,55.43,GE1,CA,,201.57756878311153,,,111818.0,,
2581,GEV207_S0300_0016,55.43,GE1,CA,,349.6183322997298,,1.495,1972.0,27.505,
2582,GEV207_S0300_0013,55.43,GE1,CA,,271.65687500631867,,,9241.0,26.285,
2584,GEV207_S0300_0007,55.43,GE1,CA,,352.0824913969409,,1.48,2193.0,,
2585,GEV207_S0300_0006,55.43,GE1,CA,,274.1967743695111,,1.1,11053.0,28.6,
2586,GEV207_S0300_0004,55.43,GE1,CA,,203.77057708630588,,0.8,106078.0,28.735,
2603,GEV207_R0400_1089,0.0,GE1,CA,-417.63024091996266,-329.3641993885924,,,4053760.0,27.64,27.845
2604,GEV207_R0400_1043,0.0,GE1,CA,,-390.43932232548065,,,291201.0,26.95,26.685
2615,GEV207_R0400_0739,51.5059620351542,GE1,CA,,352.3138216365308,,,47983.0,,
2616,GEV207_R0400_0534,53.25686544722542,GE1,CA,,355.02340931767594,,,8738.0,,
2617,GEV207_R0400_0537,53.25686544722542,GE1,CA,,355.02340931767594,,,10840.0,,
2618,GEV207_R0400_0740,51.5059620351542,GE1,CA,,272.3076923076923,,,852309.0,,
2619,GEV207_R0400_0538,53.25686544722542,GE1,CA,,274.4216626148647,,,82582.0,,
2620,GEV207_R0400_0539,53.25686544722542,GE1,CA,,276.58398821218077,,,72890.0,,
2621,GEV207_R0400_0741,51.5059620351542,GE1,CA,,213.58159912376783,,,13287026.0,,
2623,GEV207_S3200_0015,51.77,GE1,CA,,160.07988844906194,,,37642.0,,
2624,GEV207_S3200_0024,51.13,GE1,CA,,162.86542099985098,,,28295.0,,
2625,GEV207_S3200_0019,51.13,GE1,CA,,161.54469585788448,,,27556.0,26.145,
2626,GEV207_S3200_0018,51.13,GE1,CA,,100.52177081664514,,,6229685.0,26.78,
2627,GEV207_S3200_0017,51.13,GE1,CA,,162.86146445232893,,,44057.0,26.765,
2628,GEV207_S3200_0016,51.13,GE1,CA,,214.25973553633128,,,1930.0,25.995,
2629,GEV207_S3200_0005,51.77,GE1,CA,,201.74238405048445,,,3668.0,27.6,
2630,GEV207_S3200_0004,51.77,GE1,CA,,100.87371968570267,,,3280434.0,26.945,
2632,GEV207_S3200_0002,51.77,GE1,CA,,163.60100736395805,,,164550.0,,
2633,GEV207_S3200_0001,51.77,GE1,CA,,162.29633401221994,,,37861.0,,
2634,GEV207_S3100_0018,53.99,GE1,CA,,141.16526874358098,,,473897.0,,
2635,GEV207_S3100_0017,53.99,GE1,CA,,239.0934241327942,,,4959.0,,
2636,GEV207_S3100_0016,53.99,GE1,CA,,236.4731839409411,,,1032.0,,
2637,GEV214_S0700_0002,0.0,GE1,STT,380.7,,,1.37,1.0,30.98,
2638,GEV214_S0700_0001,0.0,GE1,STT,362.2,,,1.29,1.0,31.14,
2639,GEV307_R0400_0003,0.0,GE2,STT,610.1534269296842,,,,1.0,,
2645,GEV207_S3100_0006,53.99,GE1,CA,,178.34147263551213,,,72780.0,,
2646,GEV207_S3100_0005,53.99,GE1,CA,,140.01963774093875,,,385178.0,,
2647,GEV207_S3100_0004,53.99,GE1,CA,,140.20240263648392,,,495304.0,,
2648,GEV207_S3100_0003,53.99,GE1,CA,,176.1812125362933,,,102220.0,,
2650,GEV207_S3100_0001,53.99,GE1,CA,,197.47665414216058,,,55332.0,,
2651,GEV207_S0300_0032,52.83,GE1,CA,,205.65661639401063,,,165953.0,,
2654,GEV207_S3100_0015,53.99,GE1,CA,,244.9866855062225,,,4093.0,,
2655,GEV207_S3100_0008,53.99,GE1,CA,,141.5415659863246,,,510509.0,,
2656,GEV207_S3100_0007,53.99,GE1,CA,,238.3634388703383,,,4364.0,,
2657,GEV206_R0300_0810,52.38,GE1,CA,,229.89374568071872,,,2909837.0,40.355,40.545
2658,GEV206_R0300_0564,53.620098081087065,GE1,CA,,-473.12110586084736,,,8000.0,40.055,40.235
2660,GEV206_R0300_0353,53.396710149056986,GE1,CA,,-473.1210844970274,,,26772.0,,38.46
