,Name,Fibre Volume Fraction,Material,Test type,"smax,static","smax, fatigue",epsstatic,epsfatigue,Ncycles,Eit,Eic
2969,GEV206_R0300_0903,52.3,GE1,CA,,-385.6749311294766,,,3395420.0,40.83,41.015
2970,GEV207_S0300_0027,52.83,GE1,CA,,159.5740796190671,,,1372317.0,28.01,
2971,GEV207_S0300_0026,52.83,GE1,CA,,160.07057768371766,,,1524481.0,29.43,
2972,GEV207_S0300_0025,52.83,GE1,CA,,163.34488410558853,,,1334485.0,29.135,
2973,GEV207_S0300_0014,55.43,GE1,CA,,119.23271364117632,,,10549401.0,27.03,
2974,GEV207_S0300_0003,55.43,GE1,CA,,276.8039178400679,,,10873.0,,
2975,GEV207_S0300_0002,55.43,GE1,CA,,203.43293070565798,,,119300.0,,
2976,GEV307_R0400_0035,0.0,GE2,CA,,181.29641935161388,,,3806.0,27.16,27.22
2977,GEV307_R0400_0034,0.0,GE2,CA,,229.3328975093829,,,287.0,25.75,25.69
2978,GEV307_R0400_0033,0.0,GE2,CA,,181.35661085650344,,,1182.0,26.63,26.78
2979,GEV307_R0400_0032,0.0,GE2,CA,,231.72134596091098,,,350.0,26.895,27.0
2980,GEV307_R0400_0031,0.0,GE2,CA,,181.44484902137467,,,4647.0,27.65,27.79
2981,GEV307_R0400_0030,0.0,GE2,CA,,180.45472025730967,,,1828.0,26.315,27.28
2982,GEV307_R0400_0029,0.0,GE2,CA,,225.33843507756907,,,178.0,27.37,26.355
2983,GEV307_R0400_0028,0.0,GE2,CA,,236.86676635361115,,,267.0,27.37,27.365
2985,GEV307_R0400_0026,0.0,GE2,CA,,130.68456797210743,,,1226203.0,25.415,25.345
2986,GEV307_R0400_0025,0.0,GE2,CA,,132.21629391699696,,,1477579.0,26.66,26.805
2987,GEV307_R0400_0023,0.0,GE2,CA,,182.51009399240087,,,155789.0,28.73,29.02
2996,GEV308_I1000_0013,48.98,GE2,CA,,56.510771199946184,,,26921.0,13.6,
2997,GEV308_I1000_0012,48.98,GE2,CA,,56.510065089337566,,,32545.0,12.88,
2998,GEV308_I1000_0011,48.98,GE2,CA,,56.50741090599755,,,27961.0,12.85,
2999,GEV308_I1000_0010,48.98,GE2,CA,,56.509975876637654,,,34190.0,13.39,
3000,GEV308_I1000_0008,48.98,GE2,CA,,56.50977744601961,,,23572.0,12.8,
3001,GEV308_I1000_0007,48.98,GE2,CA,,56.51232807370779,,,26242.0,12.95,
3002,GEV308_I1000_0006,48.98,GE2,CA,,69.39429234299423,,,2452.0,13.28,
3003,GEV308_I1000_0005,48.98,GE2,CA,,69.39960892822032,,,3493.0,13.56,
3004,GEV308_I1000_0004,48.98,GE2,CA,,69.39472379798426,,,2537.0,12.77,
3005,GEV308_I1000_0003,48.98,GE2,CA,,69.40075759297,,,2612.0,13.47,
3006,GEV308_I1000_0002,48.98,GE2,CA,,69.40179463420155,,,2452.0,13.51,
3008,GEV308_I1000_0190,0.0,GE2,CA,,46.245819024241406,,,787016.0,12.65,
3009,GEV308_I1000_0189,0.0,GE2,CA,,46.24745130363108,,,946031.0,12.64,
3010,GEV308_I1000_0188,0.0,GE2,CA,,46.24578092763481,,,460099.0,12.96,
3011,GEV308_I1000_0187,0.0,GE2,CA,,42.62799607903682,,,4642869.0,12.81,
3012,GEV308_I1000_0186,0.0,GE2,CA,,56.510498635231016,,,47002.0,12.49,
3013,GEV308_I1000_0185,0.0,GE2,CA,,56.51394445961508,,,72631.0,12.93,
3014,GEV308_I1000_0184,0.0,GE2,CA,,56.51061863019278,,,66644.0,13.45,
3015,GEV308_I1000_0183,0.0,GE2,CA,,69.40085983713304,,,6568.0,12.23,
3016,GEV308_I1000_0182,0.0,GE2,CA,,69.40129886832675,,,6017.0,13.57,
3017,GEV308_I1000_0181,0.0,GE2,CA,,69.39753950230026,,,6700.0,13.44,
3030,GEV206_R0300_0734,51.10422669427714,GE1,CA,,283.10967668874923,,,159510.0,,
3031,GEV206_R0300_0733,51.10422669427714,GE1,CA,,258.5114908357677,,,1010327.0,,
3032,GEV206_R0300_0732,51.10422669427714,GE1,CA,,282.4380048579337,,,556732.0,,
3033,GEV206_R0300_0731,51.10422669427714,GE1,CA,,315.70949757680023,,,102339.0,,
3034,GEV206_R0300_0729,51.10422669427714,GE1,CA,,317.4966688874084,,,128482.0,,
3035,GEV206_R0300_0728,51.10422669427714,GE1,CA,,330.03300330033005,,,71763.0,,
3036,GEV206_R0300_0726,51.10422669427714,GE1,CA,,399.32170012581366,,,22852.0,,
3057,GEV307_R0300_0050,0.0,GE2,CA,264.59665711112467,264.59665711112467,,,63334.0,28.75,28.955
3059,GEV307_R0300_0045,0.0,GE2,CA,339.61115913632057,339.61115913632057,,,2906.0,28.605,28.82
3060,GEV307_R0300_0043,0.0,GE2,CA,255.88942266242253,255.88942266242253,,,107237.0,27.745,27.92
3061,GEV307_R0400_0040,0.0,GE2,CA,266.8519624058433,266.8519624058433,,,55075.0,28.645,28.595
3062,GEV307_R0400_0038,0.0,GE2,CA,338.61069322062235,338.61069322062235,,,7466.0,29.26,29.5
3063,GEV307_R0400_0037,0.0,GE2,CA,264.8865662234055,264.8865662234055,,,90734.0,28.77,28.965
3064,GEV307_R0400_0036,0.0,GE2,CA,195.54350887074062,195.54350887074062,,,2014107.0,27.785,28.005
3093,GEV307_R0400_0051,0.0,GE2,CA,,153.385397710138,,,11116738.0,,
3094,GEV307_R0400_0041,0.0,GE2,CA,,192.65398467079137,,,1377528.0,,
3103,GEV207_R0400_0533,53.25686544722542,GE1,CA,,-150.3629875722899,,,3322798.0,,
3104,GEV207_R0400_0529,53.25686544722542,GE1,CA,,-274.998293631834,,,2755.0,,
3105,GEV207_R0400_0726,52.06187563809062,GE1,CA,,-249.94530737256616,,,93144.0,,
3106,GEV207_R0400_0530,53.25686544722542,GE1,CA,,-299.9772558228167,,,3050.0,,
3117,GEV214_S0700_0010,,GE1,CA,,168.89927625124676,,0.52,465684.0,33.045,
3118,GEV214_S0700_0009,,GE1,CA,,171.8014689712803,,0.54,268027.0,32.68,
3119,GEV214_S0700_0008,,GE1,CA,,204.04905767849613,,0.65,15954.0,32.85,
3120,GEV214_S0700_0007,,GE1,CA,,175.195167416502,,0.53,301148.0,32.99,
3121,GEV214_S0700_0006,,GE1,CA,,186.40746584269593,,0.61,208378.0,32.445,
3122,GEV214_S0700_0005,,GE1,CA,,161.31301047502166,,0.53,2029335.0,31.78,
3132,GEV307_R0300_0048,0.0,GE2,CA,,201.1232189831415,,,468226.0,29.235,29.395
3134,GEV307_R0300_0042,0.0,GE2,CA,,189.8216896317528,,,3889792.0,27.155,27.355
3135,GEV307_R0400_0039,0.0,GE2,CA,,198.9493471862793,,,1217152.0,28.525,28.75
3141,GEV207_R0400_0198,50.68370809556281,GE1,STT,649.9456602808618,,2.8183529136,,1.0,27.723660000000002,
3142,GEV207_R0400_0191,50.68370809556281,GE1,STT,660.8186299701175,,2.8112116932,,1.0,29.325228000000003,
3143,GEV207_R0400_0190,50.68370809556281,GE1,STT,674.0658261796152,,2.8236880872,,1.0,29.689764,
3144,GEV207_R0400_0189,50.68370809556281,GE1,STT,649.1398896462188,,2.7795590124,,1.0,28.967664,
3145,GEV207_R0400_0187,50.68370809556281,GE1,STT,632.8053419466162,,2.6621933604000003,,1.0,29.435783999999998,
3146,GEV213_R0390_0081,53.73,GE1,STC,250.18949432086944,,2.4447104856000004,,1.0,,16.322448
3147,GEV213_R0390_0080,53.73,GE1,STC,236.35544212519875,,2.0922529776,,1.0,,16.31448
3148,GEV213_R0390_0079,53.73,GE1,STC,240.7879637893663,,2.2278998112000004,,1.0,,16.836384
3149,GEV213_R0390_0078,53.73,GE1,STC,239.58967336173666,,2.2147634676,,1.0,,16.502724
3150,GEV213_R0390_0077,53.73,GE1,STC,218.2237829607515,,1.7687537711999999,,1.0,,16.452924
3151,GEV213_R0390_0076,53.73,GE1,STT,66.43984452311238,,0.40891747116000005,,1.0,16.07544,
3152,GEV213_R0390_0075,53.73,GE1,STT,65.99403515451488,,0.7403134635599999,,1.0,16.089384,
3153,GEV213_R0390_0074,53.73,GE1,STT,62.69592476489028,,0.43447855620000003,,1.0,15.870263999999999,
3154,GEV213_R0390_0073,53.73,GE1,STT,64.73481662716313,,0.39451899636,,1.0,16.204919999999998,
3155,GEV213_R0390_0072,53.73,GE1,STT,66.45513163595585,,0.47593368972,,1.0,16.101336,
3156,GEV206_R0330_0028,51.61059136399159,GE1,STT,152.20716151513398,,1.11,,1.0,19.148100000000003,
3157,GEV206_R0330_0027,51.61059136399159,GE1,STT,148.57562562299984,,1.19,,1.0,18.403092,
3158,GEV206_R0330_0026,51.61059136399159,GE1,STT,155.09718035407957,,1.42,,1.0,18.097320000000003,
3159,GEV206_R0330_0025,51.61059136399159,GE1,STT,155.9007926875204,,1.25,,1.0,18.294528,
3160,GEV206_R0330_0024,51.61059136399159,GE1,STT,151.62372392020023,,1.08,,1.0,18.876192000000003,
3161,GEV206_R0300_0316,53.4981904579583,GE1,STT,994.3689895862076,,2.82,,1.0,36.415752,
3162,GEV206_R0300_0315,53.4981904579583,GE1,STT,961.4694697567626,,2.8,,1.0,37.366932000000006,
3163,GEV206_R0300_0314,53.4981904579583,GE1,STT,952.5248072601502,,2.71,,1.0,37.609956000000004,
3164,GEV206_R0300_0313,53.4981904579583,GE1,STT,961.851368218124,,2.18,,1.0,38.593008,
3165,GEV206_R0300_0312,53.4981904579583,GE1,STT,1016.1325430312771,,,,1.0,38.124888,
3166,GEV207_R0400_0212,52.488864777143824,GE1,CA,,347.7593505294337,,1.28,411475.0,,
3167,GEV207_R0400_0211,52.488864777143824,GE1,CA,,269.81328920387097,,0.95,779438.0,,
3168,GEV207_R0400_0206,52.488864777143824,GE1,CA,,180.56983491095588,,0.68724,169753.0,27.879036,
3169,GEV207_R0400_0205,52.488864777143824,GE1,CA,,233.07079108230164,,0.91632,20355.0,28.495559999999998,
3170,GEV207_R0400_0204,52.488864777143824,GE1,CA,,233.46061755948827,,1.00596,26225.0,28.119072,
3171,GEV207_R0400_0203,50.68370809556281,GE1,CA,,179.26218131346334,,0.70716,275387.0,27.650952,
3172,GEV207_R0400_0202,50.68370809556281,GE1,CA,,335.867750512512,,1.4442,10930.0,27.650952,
3173,GEV207_R0400_0201,50.68370809556281,GE1,CA,,335.84636757766657,,1.4043599999999998,9228.0,28.242576000000003,
3174,GEV207_R0400_0200,50.68370809556281,GE1,CA,,266.59321181345666,,1.10556,83778.0,27.781428000000002,
3175,GEV207_R0400_0199,50.68370809556281,GE1,CA,,266.5692355219695,,1.0956000000000001,106030.0,27.816288,
3176,GEV206_R0300_0339,53.27606183855359,GE1,CA,,213.33333333333334,,0.57768,982252.0,37.934652,
3177,GEV206_R0300_0338,53.27606183855359,GE1,CA,,213.33333333333331,,0.60756,359001.0,36.99841200000001,
3178,GEV206_R0300_0337,53.27606183855359,GE1,CA,,258.68766404199476,,0.72708,141641.0,37.189644,
3179,GEV206_R0300_0336,53.27606183855359,GE1,CA,,258.68766404199476,,0.56772,80441.0,37.397808000000005,
3180,GEV206_R0300_0335,53.27606183855359,GE1,CA,,258.6529533089582,,0.60756,89458.0,39.155748,
3181,GEV206_R0300_0344,53.27606183855359,GE1,CA,,482.70440251572325,,1.2948,7348.0,36.444636,
3182,GEV206_R0300_0343,53.27606183855359,GE1,CA,,482.7150749802683,,1.27488,4270.0,39.439608,
3183,GEV206_R0300_0342,53.27606183855359,GE1,CA,,381.32281212674485,,1.0956,34776.0,,
3184,GEV206_R0300_0341,53.27606183855359,GE1,CA,,381.32600086729065,,1.00596,47130.0,,
3185,GEV206_R0300_0340,53.27606183855359,GE1,CA,,381.37999433347494,,0.996,39280.0,,
3186,GEV307_I0190_0011,54.13,GE2,STT,130.39964077233947,,3.6142986368715087,,1.0,13.059,
3187,GEV307_I0190_0010,54.13,GE2,STT,131.8478906714201,,3.7347449832402235,,1.0,13.252,
3188,GEV307_I0190_0009,54.13,GE2,STT,132.49513545876366,,3.5778025810055865,,1.0,13.167,
3189,GEV307_I0190_0008,54.13,GE2,STT,133.13126259876697,,,,1.0,,
3190,GEV307_I0190_0007,54.13,GE2,STT,131.90730837789664,,,,1.0,,
3191,GEV307_I0130_0010,54.13,GE2,STT,278.92546116393015,,,,1.0,21.641,
3192,GEV307_I0130_0009,54.13,GE2,STT,284.0433390790446,,3.740072279329609,,1.0,21.609,
3193,GEV307_I0130_0008,54.13,GE2,STT,279.4878108840187,,,,1.0,20.879,
3194,GEV307_I0130_0007,54.13,GE2,STT,283.6918806384456,,,,1.0,,
3195,GEV307_I0130_0006,54.13,GE2,STT,270.80768283673973,,,,1.0,,
3196,GEV307_I0100_0005,54.13,GE2,STT,560.9621062992126,,3.6772005921787714,,1.0,27.723,
3197,GEV307_I0100_0004,54.13,GE2,STT,548.345588235294,,3.8061273519553076,,1.0,27.177,
3198,GEV307_I0100_0003,54.13,GE2,STT,550.296397628819,,4.119755530726257,,1.0,26.969,
3199,GEV307_I0100_0002,54.13,GE2,STT,561.6635381877575,,,,1.0,,
3200,GEV307_I0100_0001,54.13,GE2,STT,562.0537284222436,,,,1.0,,
3201,GEV307_R0300_0039,0.0,GE2,CA,,210.60485714973404,,0.71,248745.0,,
3202,GEV307_R0300_0038,0.0,GE2,CA,,217.5726148602096,,0.754,148760.0,,
3203,GEV307_R0300_0037,0.0,GE2,CA,,217.6836524414431,,0.744,161876.0,,
3204,GEV307_R0300_0036,0.0,GE2,CA,,230.11475459472555,,0.817,173546.0,,
3205,GEV307_R0300_0035,0.0,GE2,CA,,230.11475459472555,,0.516,120318.0,,
3206,GEV307_R0300_0034,0.0,GE2,CA,,243.02517740837948,,1.11,87285.0,,
3207,GEV307_R0300_0032,0.0,GE2,CA,,272.3343792552247,,,15531.0,,
3208,GEV307_R0300_0031,0.0,GE2,CA,,296.3735729612462,,,10275.0,,
3209,GEV307_R0300_0030,0.0,GE2,CA,,361.4806246385194,,1.47,1646.0,,
3210,GEV307_R0300_0029,0.0,GE2,CA,,204.46313821708142,,0.8599922547486033,379445.0,,
3211,GEV307_R0300_0028,0.0,GE2,CA,,210.1262858978246,,0.9086769754189945,117775.0,,
3212,GEV307_R0300_0027,0.0,GE2,CA,,231.1365226118427,,0.977352948603352,35161.0,,
3213,GEV307_R0300_0026,0.0,GE2,CA,,178.5799323777323,,0.678,1469972.0,27.27,
3214,GEV307_R0300_0024,0.0,GE2,CA,,237.52574185227326,,0.924,15198.0,26.94,
3215,GEV307_R0300_0023,0.0,GE2,CA,,240.02544269692586,,0.968,6752.0,27.778,
3216,GEV307_R0300_0022,0.0,GE2,CA,,297.46765782890253,,1.263,1253.0,26.743,
3217,GEV307_R0300_0021,0.0,GE2,CA,,356.3664872955347,,1.505,407.0,26.454,
3218,GEV313_R0390_0011,54.6,GE2,STT,44.235605424732135,,0.2859,,1.0,15.06,
3219,GEV313_R0390_0010,54.6,GE2,STT,41.705239986970355,,0.3192,,1.0,13.61,
3221,GEV313_R0390_0008,54.6,GE2,STT,42.24220180583747,,0.2759,,1.0,14.77,
3222,GEV313_R0390_0007,54.6,GE2,STT,47.43034470927197,,0.3533,,1.0,13.89,
3223,GEV313_R0390_0006,54.6,GE2,STT,46.891119862443844,,0.3205,,1.0,15.0,
3224,GEV313_R0390_0005,54.6,GE2,STC,-165.390101446675,,-1.781615,,1.0,,15.29
3225,GEV313_R0390_0004,54.6,GE2,STC,-166.89524465097642,,-1.904405,,1.0,,15.35
3226,GEV313_R0390_0003,54.6,GE2,STC,-167.77396668490067,,-1.980225,,1.0,,15.13
3227,GEV313_R0390_0002,54.6,GE2,STC,-169.46279891870637,,-1.82153015,,1.0,,15.59
3228,GEV313_R0390_0001,54.6,GE2,STC,-173.57174256951996,,-1.9621,,1.0,,16.14
3229,GEV306_R0300_0012,52.41,GE2,STC,-529.5093480865082,,-1.3753755,,1.0,,39.91
3230,GEV306_R0300_0011,52.41,GE2,STC,-485.3748569699924,,-1.223975,,1.0,,40.76
3231,GEV306_R0300_0010,52.41,GE2,STT,889.8406527082685,,2.3163,,1.0,41.5,
3234,GEV306_R0300_0007,52.41,GE2,STT,882.2681561109081,,,,1.0,39.59,
3235,GEV306_R0300_0006,52.41,GE2,STT,928.2146328232715,,,,1.0,40.34,
3236,GEV306_R0300_0005,52.41,GE2,STC,-516.9855518068842,,-1.309112,,1.0,,40.6
3237,GEV306_R0300_0004,52.41,GE2,STC,-504.07273743868654,,-1.3218,,1.0,,39.33
3238,GEV306_R0300_0003,52.41,GE2,STT,947.4880256951543,,2.4291,,1.0,42.38,
3239,GEV308_I1000_0027,50.41,GE2,CA,,42.62735580375938,,,1884371.0,13.55,
3240,GEV308_I1000_0026,50.41,GE2,CA,,42.62990284129123,,,862517.0,12.76,
3241,GEV308_I1000_0025,50.41,GE2,CA,,42.63463546422873,,,642246.0,12.97,
3242,GEV308_I1000_0024,50.41,GE2,CA,,42.633269650321544,,,1835285.0,13.46,
3243,GEV308_I1000_0018,50.41,GE2,CA,,42.626720271756376,,,1474783.0,13.18,
3245,GEV308_I1000_0015,50.41,GE2,CA,,42.62978400909435,,,941394.0,13.44,
3253,GEV207_S3200_0224,,GE1,CA,,124.23,,,541853.0,28.1,
3254,GEV207_S3200_0223,,GE1,CA,,131.32,,,398098.0,27.7,
3255,GEV207_S3200_0222,,GE1,CA,,111.78,,,7303175.0,28.46,
3256,GEV207_S3200_0221,,GE1,CA,,131.3,,,300000.0,27.67,
3257,GEV207_S3200_0220,,GE1,CA,,244.06,,,637.0,27.39,
3258,GEV207_S3200_0219,,GE1,CA,,244.28,,,1415.0,27.35,
3259,GEV207_S3200_0218,,GE1,CA,,223.82,,,2964.0,28.68,
3260,GEV207_S3200_0217,,GE1,CA,,162.27,,,64458.0,26.71,
3261,GEV207_S3200_0216,,GE1,CA,,218.07,,,3150.0,26.73,
3262,GEV207_S3200_0215,,GE1,CA,,210.983,,,4831.0,25.98,
3263,GEV207_S3200_0214,,GE1,CA,,165.099,,,81198.0,27.79,
3264,GEV207_S3200_0213,,GE1,CA,,155.926,,,68842.0,26.32,
3265,GEV207_S3200_0212,,GE1,CA,,125.221,,,415521.0,25.369,
3266,GEV207_S3200_0208,,GE1,CA,,254.84,,,1028.0,29.19,
3267,GEV207_S3200_0207,,GE1,CA,,165.491,,,31752.0,28.86,
3268,GEV207_S3200_0209,,GE1,STT,355.65,,1.3274,,1.0,25.46,
3269,GEV207_S3200_0210,,GE1,STT,383.035,,1.3721,,1.0,30.11,
3270,GEV207_S3200_0211,,GE1,STT,359.992,,1.3979,,1.0,27.53,
3271,GEV207_S0300_0223,,GE1,CA,,389.22,,,443.0,27.32,
3272,GEV207_S0300_0224,,GE1,CA,,252.33,,,3502605.0,27.09,
3273,GEV207_S0300_0215,,GE1,CA,,371.9,,,336983.0,26.83,
3274,GEV207_S0300_0216,,GE1,CA,,318.78,,,146945.0,25.57,
3275,GEV207_S0300_0217,,GE1,CA,,318.89,,,214358.0,25.65,
3276,GEV207_S0300_0218,,GE1,CA,,258.59,,,1784535.0,26.48,
3277,GEV207_S0300_0219,,GE1,CA,,401.17,,,8527.0,27.9,
3278,GEV207_S0300_0220,,GE1,CA,,479.79,,,66.0,27.34,
3279,GEV207_S0300_0221,,GE1,CA,,262.25,,,1211042.0,27.42,
3280,GEV207_S0300_0222,,GE1,CA,,398.87,,,2006.0,26.55,
3281,GEV207_S0300_0214,,GE1,CA,,252.0,,,2358461.0,25.39,
3282,GEV207_S0300_0209,,GE1,CA,,369.18,,,1429.0,25.78,
3283,GEV207_S0300_0208,,GE1,CA,,370.9,,,3962.0,25.9,
3284,GEV207_S0300_0207,,GE1,CA,,371.38,,,7439.0,26.2,
3286,GEV207_S0300_0212,,GE1,STT,516.2,,,,1.0,26.29,
3287,GEV207_S0300_0211,,GE1,STT,491.73,,,,1.0,26.03,
3288,GEV207_S0300_0210,,GE1,STT,491.56,,,,1.0,26.1,
3332,GEV307_R0300_0010,0.0,GE2,CA,,-257.67,,-0.9,153080.0,,28.63
3333,GEV307_R0300_0009,0.0,GE2,CA,,-262.444,,-0.91,44098.0,,28.84
3334,GEV307_R0300_0008,0.0,GE2,CA,,-258.713,,-0.91,174166.0,,28.43
3335,GEV307_R0300_0007,0.0,GE2,CA,,-266.24800000000005,,-0.92,59875.0,,28.94
3336,GEV307_R0300_0006,0.0,GE2,CA,,-266.073,,-0.93,28646.0,,28.61
3337,GEV307_R0300_0005,0.0,GE2,CA,,-276.552,,-0.92,575863.0,,30.06
3338,GEV307_R0300_0004,0.0,GE2,CA,,-254.07,,-0.9,3844009.0,,28.23
3339,GEV307_R0300_0003,0.0,GE2,CA,,-278.426,,-0.95,32088.0,,29.308
3340,GEV307_R0300_0002,0.0,GE2,CA,,-290.2,,-1.0,6556.0,,29.02
3341,GEV307_R0300_0001,0.0,GE2,CA,,-240.16,,-0.8,1000000.0,,30.02
3352,GEV307_I0200_0205,54.13,GE2,STC,-365.36250847601275,,-1.516466072006577,,1.0,,26.43924702168231
3353,GEV307_I0200_0204,54.13,GE2,STC,-381.8708923112817,,-1.6988207101962778,,1.0,,26.019028645516876
3354,GEV307_I0200_0203,54.13,GE2,STC,-386.8391775956869,,-1.5082637681523607,,1.0,,26.94076599455463
3355,GEV307_I0200_0202,54.13,GE2,STC,-405.33426917002987,,-1.6846468019417133,,1.0,,26.4958035148184
3356,GEV307_I0200_0201,54.13,GE2,STC,-395.44724445584245,,-1.719167020360033,,1.0,,26.353871933061885
3357,GEV307_I0200_0012,54.13,GE2,STC,-571.3798005713076,,-2.756050166185612,,1.0,,28.349871514056908
3358,GEV307_I0200_0011,54.13,GE2,STC,-551.92269081624,,-2.276451723832145,,1.0,,28.315393119054967
3359,GEV307_I0200_0010,54.13,GE2,STC,-541.4393314757323,,-2.3557808907390863,,1.0,,28.71860111186363
3360,GEV307_I0200_0009,54.13,GE2,STC,-526.9298100169018,,-2.2033098652485115,,1.0,,29.358610976429794
3361,GEV307_I0200_0008,54.13,GE2,STC,-524.0505568916177,,-1.8741764530408407,,1.0,,32.347887616512075
3362,GEV307_I0200_0007,54.13,GE2,STC,-510.05085912508264,,-1.9247800511807895,,1.0,,29.845117255599654
3364,GEV306_R0300_0019,52.41,GE2,STC,-642.7241984334203,,-1.5970015820662078,,1.0,,40.29686240380265
3365,GEV306_R0300_0018,52.41,GE2,STC,-571.3439897435896,,-1.4811626061966578,,1.0,,39.63383982908188
3366,GEV306_R0300_0017,52.41,GE2,STC,-655.1099179487179,,-1.65744638337473,,1.0,,39.73567302517723
3367,GEV306_R0300_0016,52.41,GE2,STC,-618.7390423561334,,-1.5757497069075144,,1.0,,42.19511833757365
3368,GEV306_R0300_0015,52.41,GE2,STC,-572.0174041974101,,-1.4301497069075144,,1.0,,40.421539408815214
3369,GEV307_I0190_0005,54.13,GE2,STT,140.19243585278068,,2.4575396371795653,,2.0,14.24253261471345,
3370,GEV307_I0190_0004,54.13,GE2,STT,139.90532891901785,,2.43628583817604,,2.0,14.118496534097673,
3371,GEV307_I0190_0003,54.13,GE2,STT,138.66246139037162,,2.47328983817604,,2.0,13.987792620840253,
3372,GEV307_I0190_0002,54.13,GE2,STT,138.1645348370755,,2.4189011085026455,,2.0,13.848320299363815,
3373,GEV307_I0190_0001,54.13,GE2,STT,117.95259516037261,,1.7156694056272652,,2.0,13.925906523780341,
3374,GEV307_I0100_0011,54.13,GE2,STT,579.7971227750655,,2.9684871954000007,,2.0,26.942028508460027,
3375,GEV307_I0100_0010,54.13,GE2,STT,595.522884540235,,2.776299132,,2.0,29.16246410236525,
3376,GEV307_I0100_0009,54.13,GE2,STT,628.6157967505704,,3.1017293292000003,,2.0,26.67061052564863,
3377,GEV307_I0100_0008,54.13,GE2,STT,615.8439964257454,,2.8510806373,,2.0,27.444187480585434,
3378,GEV307_I0100_0007,54.13,GE2,STT,654.9746310074596,,3.0350036656272636,,2.0,27.388978330173426,
3379,GEV214_S0700_0011,,GE1,STT,510.59401954275194,,1.71,,1.0,33.07,
3388,GEV307_R0400_0061,0.0,GE2,STT,701.0858185516437,,3.06,,1.0,27.17,
3389,GEV307_R0400_0059,0.0,GE2,STT,698.3677468693243,,3.01,,1.0,27.13,
3390,GEV307_R0400_0057,0.0,GE2,STT,669.6428571428572,,2.88,,1.0,27.6,
3391,GEV307_R0400_0055,0.0,GE2,STT,668.2463745243884,,2.84,,1.0,27.7,
3392,GEV307_R0400_0053,0.0,GE2,STT,687.1423622310624,,2.47,,1.0,29.7,
3393,GEV307_R0400_0060,0.0,GE2,STC,-506.595674673207,,2.0,,1.0,,29.21
3394,GEV307_R0400_0058,0.0,GE2,STC,-492.716341120517,,1.92,,1.0,,29.02
3395,GEV307_R0400_0056,0.0,GE2,STC,-480.03350183961,,1.85,,1.0,,29.06
3396,GEV307_R0400_0054,0.0,GE2,STC,-505.578654542191,,1.78,,1.0,,29.51
3433,GEV207_S0300_0228,,GE1,CA,,383.8918283362728,,1.5537,740.0,26.86,
